order_id;date;time;user_id;name;course_id;course_name;payment_method;item_price;discount;total_amount
OC-2021-152156;11/08/2021;12:55:00;CG-12520;Claire Gute;CAMP-001-005-082;Kata kunci untuk Mencapai Halaman Pertama Google;BCA;411520;0;411520
OC-2021-152156;11/08/2021;13:35:00;CG-12520;Claire Gute;CAMP-004-004-041;Mahir dalam Seni Komunikasi;Go-Pay;254839;0;254839
OC-2021-138688;06/12/2021;17:03:00;DV-13045;Darrin Van Huff;CAMP-004-006-055;Mempelajari Dasar MySQL untuk Business Intelligence;BCA;247283;0;247283
ID-2020-108966;10/11/2020;19:02:00;SO-20335;Sean O'Donnell;CAMP-005-004-063;Dasar-dasar Kemampuan Lunak dalam Customer Service;VISA;245275;0.45;134901
ID-2020-108966;10/11/2020;08:27:00;SO-20335;Sean O'Donnell;CAMP-003-003-092;Finance 101;Go-Pay;279696;0.2;223757
OC-2019-115812;06/09/2019;21:31:00;BH-11710;Brosina Hoffman;CAMP-005-007-019;Dasar-dasar Google Sheet untuk Pemula;JCB;306249;0;306249
OC-2019-115812;06/09/2019;11:34:00;BH-11710;Brosina Hoffman;CAMP-002-002-031;Mulai Karirmu dalam Analisis Data dengan SQL ;Alfaexpress;412477;0;412477
OC-2019-115812;06/09/2019;14:03:00;BH-11710;Brosina Hoffman;CAMP-002-001-076;Mendesain Database dengan MySQL;OVO;618800;0.2;495040
OC-2019-115812;06/09/2019;08:58:00;BH-11710;Brosina Hoffman;CAMP-001-005-063;Sukses Membuat Content Marketing untuk pengguna TikTok;Bank BRI;375659;0.2;300527
OC-2019-115812;06/09/2019;21:19:00;BH-11710;Brosina Hoffman;CAMP-002-001-076;Mendesain Database dengan MySQL;Dan Dan;618800;0;618800
OC-2019-115812;06/09/2019;07:26:00;BH-11710;Brosina Hoffman;CAMP-003-005-086;Kelas Pelatihan Keuangan untuk para Analis Finansial;Mandiri;269423;0.2;215538
OC-2019-115812;06/09/2019;09:59:00;BH-11710;Brosina Hoffman;CAMP-004-008-001;Visualisasi dan Analisis Data dengan Tableau Desktop;Mandiri;246398;0.2;197118
OC-2022-114412;04/15/22;18:14:00;AA-10480;Andrew Allen;CAMP-004-006-002;Yakinkan Audiensmu dengan Storytelling;Alfamidi;264221;0.2;211377
OC-2021-161389;12/05/2021;18:03:00;IM-15070;Irene Maddox;CAMP-002-009-039;Basic: Python untuk Pemula;OVO;454963;0.2;363970
ID-2020-118983;11/22/20;22:06:00;HP-14815;Harold Pawlan;CAMP-004-008-001;Visualisasi dan Analisis Data dengan Tableau Desktop;Master Card;246398;0.8;49280
ID-2020-118983;11/22/20;22:36:00;HP-14815;Harold Pawlan;CAMP-001-008-056;Pelajari Dasar-dasar Content Writing;Dan Dan;332363;0.8;66473
OC-2019-105893;11/11/2019;14:43:00;PK-19075;Pete Kriz;CAMP-004-004-039;Advanced Tableau menggunakan ekspresi Level of Detail ;Danamon;244713;0;244713
OC-2019-167164;05/13/19;17:58:00;AG-10270;Alejandro Grove;CAMP-003-002-045;Belajar Menganalisis Proses Kredit pada Bank;BCA;316898;0;316898
OC-2019-143336;08/27/19;13:15:00;ZD-21925;Zuschuss Donatelli;CAMP-003-000-059;Pondasi Finansial untuk Pemula;Dan Dan;273848;0;273848
OC-2019-143336;08/27/19;22:26:00;ZD-21925;Zuschuss Donatelli;CAMP-002-006-072;Mempelajari Dasar MySQL untuk Business Intelligence;OVO;374303;0.2;299443
OC-2019-143336;08/27/19;21:03:00;ZD-21925;Zuschuss Donatelli;CAMP-003-006-021;Belajar Menganalisis Saham untuk Pemula;JCB;293666;0.2;234932
OC-2021-137330;12/09/2021;21:48:00;KB-16585;Ken Black;CAMP-004-002-098;Business Intelligence dengan Microsoft Power BI Desktop ;Go-Pay;250691;0;250691
OC-2021-137330;12/09/2021;09:05:00;KB-16585;Ken Black;CAMP-003-002-095;Kuasai Ms. Excel untuk Analisis Finansial ;Alfaexpress;266872;0;266872
ID-2022-156909;07/16/22;15:32:00;SF-20065;Sandra Flanagan;CAMP-001-002-069;Kiat menjadi penulis sukses Web Content;Danamon;405165;0.3;283615
OC-2020-106320;09/25/20;16:08:00;EB-13870;Emily Burns;CAMP-004-000-084;Eksplorasi Tableau Server dan Tableau Online untuk Para Analis Data;Lawson;240776;0;240776
OC-2021-121755;01/16/21;16:05:00;EH-13945;Eric Hoffmann;CAMP-001-003-027;Social Media Marketing;BCA;328520;0.2;262816
OC-2021-121755;01/16/21;09:26:00;EH-13945;Eric Hoffmann;CAMP-001-003-025;Manajemen dan Marketing Social Media ;Dan Dan;313526;0;313526
ID-2020-150630;09/17/20;17:58:00;TB-21520;Tracy Blumstein;CAMP-005-005-049;Kuasai Desain Presentasi dengan PowerPoint;Bank BRI;309797;0.5;154898
ID-2020-150630;09/17/20;10:33:00;TB-21520;Tracy Blumstein;CAMP-004-001-094;Presentasikan Hasilmu Secara Jelas, Powerful, dan Meyakinkan.;Lawson;248785;0.7;74636
ID-2020-150630;09/17/20;21:05:00;TB-21520;Tracy Blumstein;CAMP-004-003-028;Penerapan Teknik Data Cleaning di Sains Data Melalui Python;American Express;245986;0.2;196788
ID-2020-150630;09/17/20;19:13:00;TB-21520;Tracy Blumstein;CAMP-001-008-056;Pelajari Dasar-dasar Content Writing;Lawson;332363;0.2;265890
ID-2020-150630;09/17/20;15:22:00;TB-21520;Tracy Blumstein;CAMP-002-007-033;Pemodelan Basis Data dengan PostgreSQL dan Golang;Dan Dan;538005;0.2;430404
ID-2020-150630;09/17/20;17:20:00;TB-21520;Tracy Blumstein;CAMP-003-006-021;Belajar Menganalisis Saham untuk Pemula;OVO;293666;0.7;88100
ID-2020-150630;09/17/20;18:38:00;TB-21520;Tracy Blumstein;CAMP-004-002-098;Business Intelligence dengan Microsoft Power BI Desktop ;VISA;250691;0.2;200553
OC-2022-107727;10/19/22;20:43:00;MA-17560;Matt Abelman;CAMP-004-002-099;Storytelling untuk Bisnis;Mandiri;268230;0.2;214584
OC-2021-117590;12/08/2021;18:51:00;GH-14485;Gene Hale;CAMP-003-000-059;Pondasi Finansial untuk Pemula;OVO;273848;0.2;219079
OC-2021-117590;12/08/2021;15:57:00;GH-14485;Gene Hale;CAMP-004-003-093;Kunci Tampil dan Berbicara di Depan Publik sebagai Profesional;Lawson;248231;0.6;99292
OC-2020-117415;12/27/20;16:33:00;SN-20710;Steve Nguyen;CAMP-004-005-071;Perekrutan Social Media untuk tim HR Profesional ;BSI;252964;0.2;202371
OC-2020-117415;12/27/20;17:30:00;SN-20710;Steve Nguyen;CAMP-003-008-062;Kelas Perencanaan dan Prediksi Finansial menggunakan Excel;American Express;317250;0.32;215730
OC-2020-117415;12/27/20;16:37:00;SN-20710;Steve Nguyen;CAMP-002-002-088;Dasar Pemrograman SQL;BNI;343595;0.3;240516
OC-2020-117415;12/27/20;07:42:00;SN-20710;Steve Nguyen;CAMP-002-000-077;Advanced JavaScript;VISA;614999;0.2;491999
OC-2022-120999;09/10/2022;15:44:00;LC-16930;Linda Cazamias;CAMP-001-005-082;Kata kunci untuk Mencapai Halaman Pertama Google;Lawson;411520;0.2;329216
OC-2021-101343;07/17/21;15:03:00;RA-19885;Ruben Ausman;CAMP-001-008-023;SEO 101;BCA;367606;0;367606
OC-2022-139619;09/19/22;19:11:00;ES-14080;Erin Smith;CAMP-001-008-093;Fundamental Copywriting untuk Pemula;Bank BRI;331790;0.2;265432
OC-2021-118255;03/11/2021;22:01:00;ON-18715;Odella Nelson;CAMP-001-002-053;Tingkatkan Kemampuan Content Writing untuk Web dan Marketing ;Bank BRI;312108;0;312108
OC-2021-118255;03/11/2021;13:01:00;ON-18715;Odella Nelson;CAMP-004-004-041;Mahir dalam Seni Komunikasi;Master Card;254839;0;254839
OC-2019-146703;10/20/19;15:35:00;PO-18865;Patrick O'Donnell;CAMP-002-003-044;Dasar-dasar Machine Learning dan Data Science;Lawson;645602;0;645602
OC-2021-169194;06/20/21;10:05:00;LH-16900;Lena Hernandez;CAMP-004-009-049;Analisis Data HR dengan Python;Bank BRI;247272;0;247272
OC-2021-169194;06/20/21;10:50:00;LH-16900;Lena Hernandez;CAMP-002-006-069;MySQL untuk Statistika dan Analisa Bisnis;BSI;458598;0;458598
OC-2020-115742;04/18/20;15:15:00;DP-13000;Darren Powers;CAMP-005-004-072;Google Data Studio untuk Analitik Data dan Business Intelligence;BCA;306279;0;306279
OC-2020-115742;04/18/20;17:53:00;DP-13000;Darren Powers;CAMP-001-009-074;TIngkatkan Sales Bisnismu dengan Content yang Viral dan Menaikkan Pertumbuhan Followers;BSI;401973;0;401973
OC-2020-115742;04/18/20;14:54:00;DP-13000;Darren Powers;CAMP-002-001-017;Analisis Data menggunakan R;Mandiri;436642;0;436642
OC-2020-115742;04/18/20;16:31:00;DP-13000;Darren Powers;CAMP-003-002-095;Kuasai Ms. Excel untuk Analisis Finansial ;Bank BRI;266872;0;266872
OC-2021-105816;12/11/2021;11:33:00;JM-15265;Janet Molinari;CAMP-001-005-063;Sukses Membuat Content Marketing untuk pengguna TikTok;American Express;375659;0;375659
OC-2021-105816;12/11/2021;07:54:00;JM-15265;Janet Molinari;CAMP-002-008-038;Analisis Segmentasi Pelanggan menggunakan Python ;VISA;509077;0;509077
OC-2021-111682;06/17/21;14:00:00;TB-21055;Ted Butterfield;CAMP-002-002-088;Dasar Pemrograman SQL;VISA;343595;0;343595
OC-2021-111682;06/17/21;16:36:00;TB-21055;Ted Butterfield;CAMP-003-000-059;Pondasi Finansial untuk Pemula;Alfaexpress;273848;0;273848
OC-2021-111682;06/17/21;14:38:00;TB-21055;Ted Butterfield;CAMP-002-008-002;Cara Termudah Mempelajari SQL ;Danamon;509805;0.1;458824
OC-2021-111682;06/17/21;19:14:00;TB-21055;Ted Butterfield;CAMP-004-002-090;Business Intelligence dengan Microsoft Power BI Desktop ;BNI;251201;0;251201
OC-2021-111682;06/17/21;22:15:00;TB-21055;Ted Butterfield;CAMP-004-005-088;Bagaimana cara berkomunikasi yang efektif?;OVO;247612;0;247612
